rank,previous_rank,ranking_country,ranking_category,product_title_en,product_title_zh,product_title_any,brand,price_range,relative_demand,previous_relative_demand,rank_timestamp,product_title
1,2,US,537,,,Diapers Size Pampers Swaddlers,Pampers,10-74 USD,51-100 Very high,51-100 Very high,2025-07-11,Diapers Size Pampers Swaddlers
2,4,US,537,,,Millie Moon Luxury Diapers,Millie Moon,9-48 USD,51-100 Very high,51-100 Very high,2025-07-11,Millie Moon Luxury Diapers
3,1,US,537,,,Pampers Splashers Swim Diapers Size,Pampers,6-16 USD,51-100 Very high,51-100 Very high,2025-07-11,Pampers Splashers Swim Diapers Size
4,5,US,537,,,Kendamil Organic Infant Formula Powder,,40-41 USD,51-100 Very high,51-100 Very high,2025-07-11,Kendamil Organic Infant Formula Powder
5,3,US,537,,,bumbum Luxury Skincare Disposable Diapers,,20-40 USD,51-100 Very high,51-100 Very high,2025-07-11,bumbum Luxury Skincare Disposable Diapers
6,7,US,537,,,Evenflo Revolve360 Slim 2 in 1 Rotational Car Seat,Evenflo,249-470 USD,21-50 High,21-50 High,2025-07-11,Evenflo Revolve360 Slim 2 in 1 Rotational Car Seat
7,22,US,537,,,Pampers Cruisers 360 Diapers,Pampers,10-52 USD,21-50 High,21-50 High,2025-07-11,Pampers Cruisers 360 Diapers
8,6,US,537,,,Graco Pack n Play Portable Playard,Graco,59-60 USD,21-50 High,21-50 High,2025-07-11,Graco Pack n Play Portable Playard
9,10,US,537,,,Cosco Scenera Next Convertible Car Seat,Cosco,39-59 USD,21-50 High,21-50 High,2025-07-11,Cosco Scenera Next Convertible Car Seat
10,9,US,537,,,Graco TurboBooster 2.0 Backless Booster Seat,Graco,16-35 USD,21-50 High,21-50 High,2025-07-11,Graco TurboBooster 2.0 Backless Booster Seat
11,8,US,537,,,Desitin Maximum Strength Diaper Rash Paste,DESITIN,6-23 USD,21-50 High,21-50 High,2025-07-11,Desitin Maximum Strength Diaper Rash Paste
12,11,US,537,,,Enfamil Nutramigen Hypoallergenic Baby Formula with Iron Lactose Free,Enfamil,76-76 USD,21-50 High,21-50 High,2025-07-11,Enfamil Nutramigen Hypoallergenic Baby Formula with Iron Lactose Free
13,16,US,537,,,up&up Disposable Diapers Size,up & up,6-37 USD,21-50 High,21-50 High,2025-07-11,up&up Disposable Diapers Size
14,23,US,537,,,Graco TurboBooster 2.0 Highback Booster Seat,Graco,56-70 USD,21-50 High,21-50 High,2025-07-11,Graco TurboBooster 2.0 Highback Booster Seat
