rank_timestamp,rank,previous_rank,ranking_country,ranking_category,product_title,brand,price_min,price_max,price_currency,relative_demand_min,relative_demand_max,relative_demand_bucket,previous_relative_demand_min,previous_relative_demand_max,previous_relative_demand_bucket
2025-07-11 00:00:00 UTC,5,6,AE,1,Royal Canin Feline Health Nutrition Fit 32,Royal Canin,344,396,AED,51,100,Very high,51,100,
2025-07-11 00:00:00 UTC,4,3,AE,5,Royal Canin Maxi Adult Dog Food,Royal Canin,80,374,AED,21,50,High,21,50,
2025-07-11 00:00:00 UTC,12,,AE,1,Good Seoul Corn Dog Crispy Cheese 4X80g,,25,25,AED,51,100,Very high,,,
2025-07-11 00:00:00 UTC,42,,AE,1,KITTILUX Cat Clumbing,,12,14,AED,21,50,High,,,
2025-07-11 00:00:00 UTC,1,1,AE,505314,Sky-Touch Disposable Absorbent Quick Drying Leak-Proof Pee Pads For Potty Training For Pets,,23,25,AED,51,100,Very high,51,100,
2025-07-11 00:00:00 UTC,7,9,AE,4,Royal Canin Feline Health Nutrition Mother & Babycat,Royal Canin,31,32,AED,51,100,Very high,21,50,
2025-07-11 00:00:00 UTC,6,,AE,2,Thunder Paws Premium Hard Clumping Clay Cat Litter Baby Powder / 10L,,30,30,AED,51,100,Very high,,,
2025-07-11 00:00:00 UTC,1,1,AE,3367,Royal Canin Feline Health Nutrition Indoor,Royal Canin,189,225,AED,51,100,Very high,51,100,
2025-07-11 00:00:00 UTC,14,,AE,2,Whiskas 1+ with chicken dry food,WHISKAS,,,AED,51,100,Very high,,,
2025-07-11 00:00:00 UTC,27,,AE,4,KITTILUX Cat Clumbing,,12,14,AED,21,50,High,,,
2025-07-11 00:00:00 UTC,2,3,AE,2,Royal Canin Feline Health Nutrition Indoor,Royal Canin,189,225,AED,51,100,Very high,51,100,
2025-07-11 00:00:00 UTC,1,1,AE,2,Royal Canin Size Health Nutrition Mini Adult,Royal Canin,245,290,AED,51,100,Very high,51,100,
2025-07-11 00:00:00 UTC,47,24,AE,1,Vetoquinol Viralys Oral Gel for Cats,Vetoquinol,70,90,AED,21,50,High,21,50,
2025-07-11 00:00:00 UTC,3,2,AE,5081,Vetoquinol Viralys Oral Gel for Cats,Vetoquinol,70,90,AED,21,50,High,51,100,
2025-07-11 00:00:00 UTC,8,7,AE,1,"Zylkene -C Zylkene -Cat & Small Dog Natural Calmer 75mg x Size:,100 Count (Pack of 1)",Vetoquinol,45,45,AED,51,100,Very high,51,100,
2025-07-11 00:00:00 UTC,5,,AE,4,Thunder Paws Premium Hard Clumping Clay Cat Litter Baby Powder / 10L,,30,30,AED,51,100,Very high,,,
2025-07-11 00:00:00 UTC,6,5,AE,3367,Royal Canin Feline Care Nutrition Hair & Skin,Royal Canin,116,120,AED,51,100,Very high,51,100,
2025-07-11 00:00:00 UTC,15,8,AE,2,Royal Canin Feline Care Nutrition Digestive Care,Royal Canin,110,135,AED,51,100,Very high,51,100,
2025-07-11 00:00:00 UTC,9,,AE,4,Whiskas 1+ with chicken dry food,WHISKAS,,,AED,51,100,Very high,,,
2025-07-11 00:00:00 UTC,1,1,AE,3530,Royal Canin Size Health Nutrition Mini Adult,Royal Canin,245,290,AED,51,100,Very high,51,100,
2025-07-11 00:00:00 UTC,1,1,AE,6385,"Pet Hair Remover Glove, Pets Double Sided Grooming Glove, Electrostatic Pet Hair Removal Gloves, Pets Hairs Remover Gloves for Dog & Cat Washing,",,16,16,AED,51,100,Very high,51,100,
2025-07-11 00:00:00 UTC,15,8,AE,1,Royal Canin Feline Care Nutrition Digestive Care,Royal Canin,110,135,AED,51,100,Very high,51,100,
2025-07-11 00:00:00 UTC,14,10,AE,3367,Royal Canin Feline Breed Nutrition Persian Adult,Royal Canin,78,416,AED,21,50,High,21,50,
2025-07-11 00:00:00 UTC,36,,AE,1,Monello Adult Cat Salmon,,25,29,AED,21,50,High,,,
2025-07-11 00:00:00 UTC,2,,AE,5081,"Argivit Focus Tablet, Supplement for increase Height and Energy",,90,90,AED,51,100,Very high,,,
2025-07-11 00:00:00 UTC,6,,AE,1,Thunder Paws Premium Hard Clumping Clay Cat Litter Baby Powder / 10L,,30,30,AED,51,100,Very high,,,
2025-07-11 00:00:00 UTC,1,1,AE,6383,"Pet Hair Remover Glove, Pets Double Sided Grooming Glove, Electrostatic Pet Hair Removal Gloves, Pets Hairs Remover Gloves for Dog & Cat Washing,",,16,16,AED,51,100,Very high,51,100,
2025-07-11 00:00:00 UTC,32,,AE,2,Kasih Liquid jameed 1kg,,25,35,AED,21,50,High,,,
2025-07-11 00:00:00 UTC,1,,AE,4990,Kasih Liquid jameed 1kg,,25,35,AED,51,100,Very high,,,
2025-07-11 00:00:00 UTC,23,26,AE,2,Sky-Touch Disposable Absorbent Quick Drying Leak-Proof Pee Pads For Potty Training For Pets,,23,25,AED,21,50,High,21,50,
2025-07-11 00:00:00 UTC,47,24,AE,2,Vetoquinol Viralys Oral Gel for Cats,Vetoquinol,70,90,AED,21,50,High,21,50,
2025-07-11 00:00:00 UTC,8,4,AE,3367,Royal Canin Feline Care Nutrition Digestive Care,Royal Canin,110,135,AED,51,100,Very high,51,100,
2025-07-11 00:00:00 UTC,5,6,AE,2,Royal Canin Feline Health Nutrition Fit 32,Royal Canin,344,396,AED,51,100,Very high,51,100,
2025-07-11 00:00:00 UTC,12,,AE,3367,Gastro Intestinal Royal Canin,Royal Canin,41,247,AED,21,50,High,,,
2025-07-11 00:00:00 UTC,1,1,AE,6846,Sky-Touch Disposable Absorbent Quick Drying Leak-Proof Pee Pads For Potty Training For Pets,,23,25,AED,51,100,Very high,51,100,
2025-07-11 00:00:00 UTC,16,,AE,4,Gastro Intestinal Royal Canin,Royal Canin,41,247,AED,21,50,High,,,
2025-07-11 00:00:00 UTC,21,,AE,4,Monello Adult Cat Salmon,,25,29,AED,21,50,High,,,
2025-07-11 00:00:00 UTC,35,,AE,1,Royal Canin Feline Care Nutrition Urinary Care,Royal Canin,36,240,AED,21,50,High,,,
2025-07-11 00:00:00 UTC,14,,AE,1,Whiskas 1+ with chicken dry food,WHISKAS,,,AED,51,100,Very high,,,
2025-07-11 00:00:00 UTC,8,7,AE,2,"Zylkene -C Zylkene -Cat & Small Dog Natural Calmer 75mg x Size:,100 Count (Pack of 1)",Vetoquinol,45,45,AED,51,100,Very high,51,100,
2025-07-11 00:00:00 UTC,2,,AE,4999,Thunder Paws Premium Hard Clumping Clay Cat Litter Baby Powder / 10L,,30,30,AED,51,100,Very high,,,
