rank_timestamp,rank,previous_rank,ranking_country,ranking_category,product_title,brand,price_min,price_max,price_currency,relative_demand_min,relative_demand_max,relative_demand_bucket,previous_relative_demand_min,previous_relative_demand_max,previous_relative_demand_bucket
2025-07-11 00:00:00 UTC,1,,IE,1239,Big Into Energy Labubu Monster Blind Single Box,Mystery,,,,51,100,Very high,,,
2025-07-11 00:00:00 UTC,171,,IE,536,NEW Muckross Radiator Cover Elegantly designed,,30,30,EUR,6,10,Low,,,
2025-07-11 00:00:00 UTC,797,,IE,536,Ninja Perfect Temperature Kettle,Ninja,95,100,EUR,0,5,Very low,,,
2025-07-11 00:00:00 UTC,1225,,IE,1604,Mens adidas Football Real Madrid 25/26 Home jersey,adidas,,,EUR,0,5,Very low,,,
2025-07-11 00:00:00 UTC,3,,IE,203,Mens NEXT Slim Fit Linen Suit Jacket,next,159,159,EUR,51,100,Very high,,,
2025-07-11 00:00:00 UTC,109,,IE,203,Uniqlo Puffertech Relaxed Jacket,UNIQLO,40,50,EUR,6,10,Low,,,
2025-07-11 00:00:00 UTC,67,,IE,4171,Yard Barton 100% Cotton Duvet Cover Set,Argos,35,39,EUR,11,20,Medium,,,
2025-07-11 00:00:00 UTC,3,,IE,2570,Essentials SKIP20A Flexible Hose with Iso Valve 1/2 8993G,,8,8,EUR,51,100,Very high,,,
2025-07-11 00:00:00 UTC,5,,IE,500035,"IPhone 15/16 Carplay Cable, USB A to USB C Charging Cable for iPhone 16/ 16E(SE4)/ 16 Pro Max/16 Plus, iPhone 15/15 Pro Max, AirPods (2nd Gen),",,11,11,EUR,11,20,Medium,,,
2025-07-11 00:00:00 UTC,1716,990,IE,166,Regatta Kids Pink IV Waterproof Puddle Suit,Regatta,14,30,EUR,0,5,Very low,0,5,Very low
2025-07-11 00:00:00 UTC,801,715,IE,473,Catrice True Skin Hydrating Foundation,CATRICE,9,10,EUR,0,5,Very low,0,5,Very low
2025-07-11 00:00:00 UTC,440,1019,IE,473,Boots Fresh Faced Favorites Skincare Edit Set,Boots,32,40,EUR,0,5,Very low,0,5,Very low
2025-07-11 00:00:00 UTC,229,259,IE,536,Ninja Luxe Cafe Premier Espresso Coffee Machine ES601UK,Ninja,549,590,EUR,6,10,Low,6,10,Low
2025-07-11 00:00:00 UTC,58,121,IE,213,Miraclesuit Low Back All-In-One,Miraclesuit,47,99,EUR,11,20,Medium,6,10,Low
2025-07-11 00:00:00 UTC,120,153,IE,537,WALSER Noemi child seat premium child seat foldable car child seat ECE R129 tested,Walser,70,100,EUR,11,20,Medium,11,20,Medium
