rank_timestamp,rank,previous_rank,ranking_country,ranking_category,product_title,brand,price_min,price_max,price_currency,relative_demand_min,relative_demand_max,relative_demand_bucket,previous_relative_demand_min,previous_relative_demand_max,previous_relative_demand_bucket
2025-07-11 00:00:00 UTC,49,,PT,8,CARTÃO PRESENTE DIGITAL ROBLOX,,20,20,EUR,6,10,Low,,,
2025-07-11 00:00:00 UTC,841,,PT,536,Ufesa Ventilador Nebulizador 84105863,UFESA,,,EUR,0,5,Very low,,,
2025-07-11 00:00:00 UTC,152,,PT,988,Colchão inflável Intex Full Comfort Plush Mid-Rise,Intex,54,60,EUR,0,5,Very low,,,
2025-07-11 00:00:00 UTC,90,,PT,2165,Amazon Echo Spot,Amazon,75,90,EUR,6,10,Low,,,
2025-07-11 00:00:00 UTC,1634,1422,PT,469,Philips One Blade QP215/50 OneBlade 1 Anti-Friction Blade,Philips,13,13,EUR,0,5,Very low,0,5,Very low
2025-07-11 00:00:00 UTC,1037,837,PT,469,Primer SOS Purple 15ml,JOYA MIA,6,6,EUR,0,5,Very low,0,5,Very low
2025-07-11 00:00:00 UTC,1355,1400,PT,469,Hyabak Hipotónico 10ml,Thea Pharma GmbH,10,11,EUR,0,5,Very low,0,5,Very low
2025-07-11 00:00:00 UTC,725,620,PT,536,Armadilha 2x5gr Kb Anti formigas,,8,8,EUR,0,5,Very low,0,5,Very low
2025-07-11 00:00:00 UTC,449,1057,PT,536,Aspirador Dyson V11 Advanced,Dyson,449,479,EUR,0,5,Very low,0,5,Very low
2025-07-11 00:00:00 UTC,370,727,PT,166,New Balance GR530SB1,New Balance,87,100,EUR,0,5,Very low,0,5,Very low
2025-07-11 00:00:00 UTC,42,57,PT,2764,Porta-Bebês Unissex Respirável Adequado para Recém-Nascidos com Menos de 15Kg e Fácil Transportar Cinza Escuro UISAVE,,12,12,EUR,0,5,Very low,0,5,Very low
2025-07-11 00:00:00 UTC,37,41,PT,270,Samsung Galaxy S22 Ultra 5G,Samsung,356,539,EUR,6,10,Low,6,10,Low
2025-07-11 00:00:00 UTC,44,40,PT,412,40g Grãos de kefir leite,,24,24,EUR,11,20,Medium,11,20,Medium
2025-07-11 00:00:00 UTC,23,18,PT,152,Canon EOS R6 Mark II + RF 24-105mm f/4 IS USM,Canon,1650,2350,EUR,6,10,Low,11,20,Medium
2025-07-11 00:00:00 UTC,15,25,PT,5723,Drenaslim Hydra 450ml,,13,28,EUR,11,20,Medium,11,20,Medium
2025-07-11 00:00:00 UTC,13,17,PT,500009,Coros Monitor de frequência cardíaca,COROS,91,91,EUR,11,20,Medium,11,20,Medium
2025-07-11 00:00:00 UTC,61,73,PT,536,"Climatizador evaporativo 4,8L Equation Block",,73,73,EUR,11,20,Medium,21,50,High
2025-07-11 00:00:00 UTC,95,9,PT,486,Shiseido Tsubaki Premium Repair Hair Mask,Shiseido,11,13,EUR,11,20,Medium,21,50,High
2025-07-11 00:00:00 UTC,3,3,PT,469,Herboxa Super Greens,Herboxa,36,85,EUR,51,100,Very high,51,100,Very high
2025-07-11 00:00:00 UTC,416,,PT,436,Secretária Giratória Roxie Com Arrumação - Melamina - Medidas: 139 / 200 / 230 x 40 / 92 x 75 cm - Cor: Branco - Homycasa,,99,99,EUR,0,5,Very low,,,
2025-07-11 00:00:00 UTC,955,,PT,536,Schneider SCDI30N1 Placa de Indução 2 Zonas 30cm Preta,Silva Schneider,102,115,EUR,0,5,Very low,,,
2025-07-11 00:00:00 UTC,17,,PT,500096,Bomba de Cartucho Intex 3.785 L/h,Intex,23,69,EUR,0,5,Very low,,,
2025-07-11 00:00:00 UTC,884,,PT,491,Zumub Pack Meal Prep - Extra Proteína Fit Cooler Bag-Black and Pink;Shaker Power to Win Classic 700 ml Blue;Ready Meal Asian style Chicken 420 g;Ready,Zumub,58,58,EUR,0,5,Very low,,,
2025-07-11 00:00:00 UTC,1312,,PT,2915,NYX Professional Makeup The Face Glue Primer,NYX Professional Makeup,6,10,EUR,0,5,Very low,,,
2025-07-11 00:00:00 UTC,1132,,PT,473,Carolina Herrera 212 Eau de Toilette,Carolina Herrera,59,65,EUR,0,5,Very low,,,
2025-07-11 00:00:00 UTC,15,,PT,2810,Pack piscina desmontável circular easy set 2 metros 4 acessórios,Intex,44,44,EUR,21,50,High,,,
2025-07-11 00:00:00 UTC,5,,PT,4507,Depiladora Luz Pulsada DREAM5 Amin Branco Ipl,,49,49,EUR,21,50,High,,,
2025-07-11 00:00:00 UTC,212,130,PT,187,mulher Nike Zoom Vomero 5,Nike,96,96,EUR,0,5,Very low,6,10,Low
2025-07-11 00:00:00 UTC,199,120,PT,525,Vitadé 15 Ml,Humana,9,14,EUR,0,5,Very low,6,10,Low
2025-07-11 00:00:00 UTC,34,70,PT,536,Climatizado Refrigerador Portátil Klack,,15,19,EUR,21,50,High,21,50,High
2025-07-11 00:00:00 UTC,47,67,PT,2915,Isdin Acniben Body Spray,ISDIN,19,20,EUR,21,50,High,21,50,High
2025-07-11 00:00:00 UTC,16,15,PT,5,Hill's Prescription Diet z/d Food Sensitivities,Hill's Pet Nutrition,84,90,EUR,21,50,High,21,50,High
2025-07-11 00:00:00 UTC,20,20,PT,988,Kinderkraft Triciclo 4TRIKE,KinderKraft,47,57,EUR,6,10,Low,11,20,Medium
2025-07-11 00:00:00 UTC,23,26,PT,404,Neo QLED Samsung,Samsung,639,1000,EUR,21,50,High,11,20,Medium
2025-07-11 00:00:00 UTC,228,234,PT,1,Frontpro Cães 2-4Kg 3 Comprimidos Mastigáveis,Boehringer Ingelheim,22,23,EUR,6,10,Low,11,20,Medium
2025-07-11 00:00:00 UTC,2229,1757,PT,469,Nutrof Omega 60 cápsulas,NUTROF,26,30,EUR,0,5,Very low,0,5,Very low
2025-07-11 00:00:00 UTC,1680,1641,PT,469,Carticure Plus 30 Saquetas,Arafarma,125,163,EUR,0,5,Very low,0,5,Very low
2025-07-11 00:00:00 UTC,2245,1718,PT,469,Chicco Naturalz Roll On 60ml,Chicco,9,13,EUR,0,5,Very low,0,5,Very low
2025-07-11 00:00:00 UTC,457,541,PT,536,Soft&Co Óleo Essencial de Árvore do Chá 40ml,Soft&Co,6,7,EUR,0,5,Very low,0,5,Very low
2025-07-11 00:00:00 UTC,970,901,PT,536,"Ventoinha portátil, Ventoinhas portáteis, Ventilador de cintura portátil, bateria de longa duração, Ventoinha cintura, ventilador violento 100",,13,14,EUR,0,5,Very low,0,5,Very low
2025-07-11 00:00:00 UTC,385,533,PT,491,Fharmonat Drenante Super 500ml,Fharmonat,17,17,EUR,0,5,Very low,0,5,Very low
2025-07-11 00:00:00 UTC,1491,1320,PT,2915,Avène Solar Creme Cor SPF50+ 50ml,Avène,11,12,EUR,0,5,Very low,0,5,Very low
2025-07-11 00:00:00 UTC,195,,PT,2,Coleira Eletrônica Antilatido À Prova D'Água para Treinamento de Cão de Estimação 800M Lcd Venisymlis,,20,20,EUR,6,10,Low,,,
2025-07-11 00:00:00 UTC,13,,PT,2700,Almofada Emma,Emma,68,111,EUR,11,20,Medium,,,
2025-07-11 00:00:00 UTC,492,,PT,187,Dr. Brinkmann 600275 Tamancos para homem,Dr. Brinkmann,31,31,EUR,0,5,Very low,,,
2025-07-11 00:00:00 UTC,458,536,PT,2915,Dercos Champô Mineral Suave 400ml,Vichy,9,13,EUR,6,10,Low,6,10,Low
2025-07-11 00:00:00 UTC,378,332,PT,473,Afnan 9 PM Rebel Eau de Parfum unissexo,Afnan,29,45,EUR,0,5,Very low,6,10,Low
2025-07-11 00:00:00 UTC,7,11,PT,1014,Berg Colchão Insuflável Solteiro 73x191cm Azul,,10,10,EUR,0,5,Very low,6,10,Low
2025-07-11 00:00:00 UTC,7,6,PT,548,Sudocrem Multi-Expert,Sudocrem,6,7,EUR,21,50,High,21,50,High
2025-07-11 00:00:00 UTC,2,3,PT,8236,Booster de Arranque de carro e lanterna Klack 3 em 1,,60,60,EUR,21,50,High,21,50,High
2025-07-11 00:00:00 UTC,3,2,PT,6751,Base para guarda sol 25 kg antracite Naterial,,23,23,EUR,21,50,High,21,50,High
2025-07-11 00:00:00 UTC,4,7,PT,301,Sony Comando PS4 DualShock,Sony,50,61,EUR,11,20,Medium,11,20,Medium
2025-07-11 00:00:00 UTC,10,11,PT,305,"Monitor Samsung S3 27"" FHD LS27D300GALMZD",Samsung,76,102,EUR,21,50,High,11,20,Medium
2025-07-11 00:00:00 UTC,118,76,PT,436,Sofá Chaise Longue Reversível Limassol - Pele - Medidas: 187 x 150 x 92 cm - Cor: Cinzento - Homycasa,,249,299,EUR,6,10,Low,11,20,Medium
2025-07-11 00:00:00 UTC,86,41,PT,486,L'Oréal Professionnel Scalp Advanced Shampoo Antioleosidade,L'Oréal Paris,14,40,EUR,11,20,Medium,11,20,Medium
2025-07-11 00:00:00 UTC,555,474,PT,222,Processador AMD Ryzen 7 7800X3D,AMD,355,473,EUR,0,5,Very low,0,5,Very low
2025-07-11 00:00:00 UTC,4,2,PT,563,Aptamil 1 Profutura Leite Lact 800G Duo,Nutricia,20,22,EUR,51,100,Very high,51,100,Very high
2025-07-11 00:00:00 UTC,1,2,PT,500097,Bomba de superfície STERWINS JET -3 900W 3800L/H,STERWINS,72,72,EUR,51,100,Very high,51,100,Very high
2025-07-11 00:00:00 UTC,1,1,PT,662,Conjunto de Frigideiras Tefal Ingenio Emotion 22/24/28cm + 1,T-fal,,,EUR,51,100,Very high,51,100,Very high
2025-07-11 00:00:00 UTC,697,,PT,525,Now Foods Prostate Health Clinical Strength,NOW,23,42,EUR,0,5,Very low,,,
