rank_timestamp,rank,previous_rank,ranking_country,ranking_category,product_title,brand,price_min,price_max,price_currency,relative_demand_min,relative_demand_max,relative_demand_bucket,previous_relative_demand_min,previous_relative_demand_max,previous_relative_demand_bucket
2025-07-11 00:00:00 UTC,13,,SA,689,كلاس برو، جهاز غسيل بالضغط بقوة 105 بار 1300 واط,,269,269,SAR,21,50,High,,,
2025-07-11 00:00:00 UTC,10,,SA,457,"طاولة بلازما مقاس 140,160,180,200",,147,192,SAR,21,50,High,,,
2025-07-11 00:00:00 UTC,4,,SA,566,بيبس - لهاية مطاطية كولور فلو مقاس 1 - بيج,,34,39,SAR,51,100,Very high,,,
2025-07-11 00:00:00 UTC,33,,SA,474,artnaturals قالب صابون حمض الكوجيك ، لوحان ، 5 أونصات,ArtNaturals,59,59,SAR,6,10,Low,,,
2025-07-11 00:00:00 UTC,6,,SA,2740,Lancaster Tan Deepener SPF6 200ml,Lancaster,,,SAR,21,50,High,,,
2025-07-11 00:00:00 UTC,184,206,SA,222,انكر ساوند كور K20i بلوتوث 5.3 سماعات اذن لاسلكية بالكامل داخل الاذن معايير مقاومة للماء IPX5 وقت تشغيل يصل الى 36 ساعة متوافق مع التطبيقات المخصصة/,انكر,51,51,SAR,0,5,Very low,0,5,Very low
2025-07-11 00:00:00 UTC,60,115,SA,469,اكرتين 0.025% كريم 30 جم,,20,20,SAR,6,10,Low,0,5,Very low
2025-07-11 00:00:00 UTC,193,308,SA,412,Twinings تويننجز شاي,Twinings,,,SAR,6,10,Low,0,5,Very low
2025-07-11 00:00:00 UTC,693,681,SA,473,عطر كنزو هوم او دو بارفيوم,KENZO,260,260,SAR,0,5,Very low,0,5,Very low
2025-07-11 00:00:00 UTC,142,176,SA,567,متجر أولابيلا - OlaBella Store كريم دالفور الفرنسي لتفتيح البشرة,Dalfour Beauty,46,115,SAR,0,5,Very low,0,5,Very low
2025-07-11 00:00:00 UTC,610,227,SA,166,Longchamp شنطة لو بلياج نساء,Longchamp,504,750,SAR,0,5,Very low,6,10,Low
2025-07-11 00:00:00 UTC,238,239,SA,2890,فيا اناناس الغني عن التعريف,,195,195,SAR,6,10,Low,6,10,Low
2025-07-11 00:00:00 UTC,18,42,SA,6433,ليتل بلومرز سرير الأطفال كيوباي,,299,299,SAR,11,20,Medium,11,20,Medium
2025-07-11 00:00:00 UTC,52,49,SA,423,دانيت حلى كريم الكراميل 80 جم,Dannon,3,3,SAR,11,20,Medium,11,20,Medium
2025-07-11 00:00:00 UTC,3,8,SA,598,سجادة ماهر سم,Home Centre,349,349,SAR,51,100,Very high,21,50,High
2025-07-11 00:00:00 UTC,9,21,SA,2229,بسكويت شوكو من جوزا، 12 × 80 جم,,19,25,SAR,6,10,Low,21,50,High
