code,catalog_name,catalog_depth,parent_catalog_code,full_catalog_name
1,Animals & Pet Supplies,1,0,Animals & Pet Supplies
3237,Live Animals,2,1,Animals & Pet Supplies > Live Animals
2,Pet Supplies,2,1,Animals & Pet Supplies > Pet Supplies
3,Bird Supplies,3,2,Animals & Pet Supplies > Pet Supplies > Bird Supplies
7385,Bird Cage Accessories,4,3,Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Cage Accessories
499954,Bird Cage Bird Baths,5,7385,Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Cage Accessories > Bird Cage Bird Baths
7386,Bird Cage Food & Water Dishes,5,7385,Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Cage Accessories > Bird Cage Food & Water Dishes
4989,Bird Cages & Stands,4,3,Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Cages & Stands
4990,Bird Food,4,3,Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Food
7398,Bird Gyms & Playstands,4,3,Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Gyms & Playstands
4991,Bird Ladders & Perches,4,3,Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Ladders & Perches
4992,Bird Toys,4,3,Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Toys
4993,Bird Treats,4,3,Animals & Pet Supplies > Pet Supplies > Bird Supplies > Bird Treats
4,Cat Supplies,3,2,Animals & Pet Supplies > Pet Supplies > Cat Supplies
5082,Cat Apparel,4,4,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Apparel
4433,Cat Beds,4,4,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Beds
3367,Cat Food,4,4,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food
543684,Non-prescription Cat Food,5,3367,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food > Non-prescription Cat Food
543683,Prescription Cat Food,5,3367,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food > Prescription Cat Food
4997,Cat Furniture,4,4,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Furniture
500059,Cat Furniture Accessories,4,4,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Furniture Accessories
4999,Cat Litter,4,4,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter
8069,Cat Litter Box Liners,4,4,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter Box Liners
7142,Cat Litter Box Mats,4,4,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter Box Mats
5000,Cat Litter Boxes,4,4,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter Boxes
5001,Cat Toys,4,4,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Toys
5002,Cat Treats,4,4,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Treats
5,Dog Supplies,3,2,Animals & Pet Supplies > Pet Supplies > Dog Supplies
5004,Dog Apparel,4,5,Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Apparel
4434,Dog Beds,4,5,Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Beds
7372,Dog Diaper Pads & Liners,4,5,Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Diaper Pads & Liners
499900,Dog Diapers,4,5,Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Diapers
3530,Dog Food,4,5,Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Food
